timestamp,temperature_C
2025-07-24T09:00:00Z,25.00
2025-07-24T09:00:01Z,25.01
2025-07-24T09:00:02Z,24.98
2025-07-24T09:00:03Z,25.02
2025-07-24T09:00:04Z,25.00
2025-07-24T09:01:00Z,20.90
2025-07-24T09:01:01Z,20.80
2025-07-24T09:01:02Z,20.70
2025-07-24T09:01:03Z,20.60
2025-07-24T09:01:04Z,20.50
2025-07-24T09:01:05Z,20.40
2025-07-24T09:01:06Z,20.30
2025-07-24T09:01:07Z,20.20
2025-07-24T09:01:08Z,20.10
2025-07-24T09:01:09Z,20.00
2025-07-24T09:01:10Z,19.95
2025-07-24T09:01:11Z,20.05
2025-07-24T09:01:12Z,20.10
2025-07-24T09:01:13Z,21.00
2025-07-24T09:01:14Z,20.80
2025-07-24T09:01:15Z,20.70
2025-07-24T09:01:16Z,20.60
2025-07-24T09:01:17Z,20.50
2025-07-24T09:01:18Z,20.40
2025-07-24T09:01:19Z,20.30
2025-07-24T09:01:20Z,20.25
2025-07-24T09:01:21Z,20.35
2025-07-24T09:01:22Z,20.10
2025-07-24T09:01:23Z,20.00
2025-07-24T09:01:24Z,19.98
2025-07-24T09:01:25Z,19.95
2025-07-24T09:01:26Z,20.00
2025-07-24T09:01:27Z,20.10
2025-07-24T09:01:28Z,20.20
2025-07-24T09:01:29Z,20.30
2025-07-24T09:01:30Z,20.50
2025-07-24T09:01:31Z,20.40
2025-07-24T09:01:32Z,20.60
2025-07-24T09:01:33Z,20.70
2025-07-24T09:01:34Z,20.80
2025-07-24T09:02:00Z,25.00
2025-07-24T09:02:01Z,24.90
2025-07-24T09:02:02Z,25.10
2025-07-24T11:00:00Z,30.10
2025-07-24T11:00:01Z,30.20
2025-07-24T11:00:02Z,30.30
2025-07-24T11:00:03Z,30.50
2025-07-24T11:00:04Z,31.00
2025-07-24T11:00:05Z,31.10
2025-07-24T11:00:06Z,31.30
2025-07-24T11:00:07Z,31.50
2025-07-24T11:00:08Z,31.60
2025-07-24T11:00:09Z,31.80
2025-07-24T11:00:10Z,32.00
2025-07-24T11:00:11Z,32.20
2025-07-24T11:00:12Z,32.40
2025-07-24T11:00:13Z,32.60
2025-07-24T11:00:14Z,32.80
2025-07-24T11:00:15Z,33.00
2025-07-24T11:00:16Z,33.10
2025-07-24T11:00:17Z,33.20
2025-07-24T11:00:18Z,33.30
2025-07-24T11:00:19Z,33.40
2025-07-24T11:00:20Z,33.50
2025-07-24T11:00:21Z,33.60
2025-07-24T11:00:22Z,33.70
2025-07-24T11:00:23Z,33.80
2025-07-24T11:00:24Z,33.90
2025-07-24T11:00:25Z,34.00
2025-07-24T11:00:26Z,34.10
2025-07-24T11:00:27Z,34.20
2025-07-24T11:00:28Z,34.30
2025-07-24T11:00:29Z,34.40
2025-07-24T11:00:30Z,34.50
2025-07-24T11:00:31Z,34.60
2025-07-24T11:00:32Z,34.70
2025-07-24T11:00:33Z,34.80
2025-07-24T11:00:34Z,34.90
2025-07-24T11:00:35Z,35.00
2025-07-24T11:00:36Z,35.10
2025-07-24T11:00:37Z,35.20
2025-07-24T11:00:38Z,35.30
2025-07-24T11:00:39Z,35.40
2025-07-24T11:00:40Z,35.50
2025-07-24T11:00:41Z,35.60
2025-07-24T11:00:42Z,35.70
2025-07-24T11:00:43Z,35.80
2025-07-24T11:00:44Z,35.90
2025-07-24T11:00:45Z,36.00
2025-07-24T11:00:46Z,36.10
2025-07-24T11:00:47Z,36.20
2025-07-24T11:00:48Z,36.30
2025-07-24T11:00:49Z,36.40
2025-07-24T11:00:50Z,36.50
2025-07-24T11:00:51Z,36.60
2025-07-24T11:00:52Z,36.70
2025-07-24T11:00:53Z,36.80
2025-07-24T11:00:54Z,36.90
2025-07-24T11:00:55Z,37.00
2025-07-24T11:00:56Z,37.10
2025-07-24T11:00:57Z,37.20
2025-07-24T11:00:58Z,37.30
2025-07-24T11:00:59Z,37.40
