timestamp,temperature_C
# 1) Normal baseline (steady temps)
2025-07-24T10:00:00Z,25.00
2025-07-24T10:00:01Z,25.01
2025-07-24T10:00:02Z,24.99
2025-07-24T10:00:03Z,25.02
2025-07-24T10:00:04Z,25.00
2025-07-24T10:00:05Z,25.03
2025-07-24T10:00:06Z,25.01
2025-07-24T10:00:07Z,25.02
2025-07-24T10:00:08Z,24.98
2025-07-24T10:00:09Z,25.00
# 2) Sudden door open (temp dips)
2025-07-24T10:01:00Z,23.50
2025-07-24T10:01:01Z,23.40
2025-07-24T10:01:02Z,23.20
2025-07-24T10:01:03Z,23.00
2025-07-24T10:01:04Z,22.90
2025-07-24T10:01:05Z,22.85
2025-07-24T10:01:06Z,22.80
2025-07-24T10:01:07Z,22.75
2025-07-24T10:01:08Z,22.90
2025-07-24T10:01:09Z,23.10
# 3) Recovery to normal
2025-07-24T10:02:00Z,24.50
2025-07-24T10:02:01Z,24.80
2025-07-24T10:02:02Z,25.00
2025-07-24T10:02:03Z,25.01
2025-07-24T10:02:04Z,25.00
2025-07-24T10:02:05Z,25.00
# 4) Overheat spike
2025-07-24T13:00:00Z,30.80
2025-07-24T13:00:01Z,31.00
2025-07-24T13:00:02Z,31.20
2025-07-24T13:00:03Z,31.60
2025-07-24T13:00:04Z,31.50
2025-07-24T13:00:05Z,31.40
2025-07-24T13:00:06Z,30.90
# 5) Night-time anomaly (unauthorized access?)
2025-07-24T22:05:00Z,22.90
2025-07-24T22:05:01Z,23.10
2025-07-24T22:05:02Z,23.20
2025-07-24T22:05:03Z,23.00
2025-07-24T22:05:04Z,22.80
2025-07-24T22:05:05Z,22.95
2025-07-24T22:05:06Z,23.00
# 6) Prolonged door open (gradual sustained low temp)
2025-07-24T14:00:00Z,24.50
2025-07-24T14:00:01Z,23.90
2025-07-24T14:00:02Z,23.50
2025-07-24T14:00:03Z,23.00
2025-07-24T14:00:04Z,22.80
2025-07-24T14:00:05Z,22.60
2025-07-24T14:00:06Z,22.40
2025-07-24T14:00:07Z,22.20
2025-07-24T14:00:08Z,22.10
2025-07-24T14:00:09Z,22.00
2025-07-24T14:00:10Z,22.00
2025-07-24T14:00:11Z,22.00
2025-07-24T14:00:12Z,22.10
2025-07-24T14:00:13Z,22.20
2025-07-24T14:00:14Z,22.40
2025-07-24T14:00:15Z,22.60
2025-07-24T14:00:16Z,22.80
2025-07-24T14:00:17Z,23.00
2025-07-24T14:00:18Z,23.20
2025-07-24T14:00:19Z,23.50
2025-07-24T14:00:20Z,23.50
2025-07-24T14:00:21Z,23.50
# 7) Back to baseline
2025-07-24T15:00:00Z,25.00
2025-07-24T15:00:01Z,25.01
2025-07-24T15:00:02Z,25.02
2025-07-24T15:00:03Z,25.00
2025-07-24T15:00:04Z,25.01
2025-07-24T15:00:05Z,25.02
2025-07-24T15:00:06Z,24.99
2025-07-24T15:00:07Z,24.98
2025-07-24T15:00:08Z,25.01
2025-07-24T15:00:09Z,25.00
# 8) Random normal for padding
2025-07-24T16:00:00Z,24.98
2025-07-24T16:00:01Z,25.00
2025-07-24T16:00:02Z,25.01
2025-07-24T16:00:03Z,25.03
2025-07-24T16:00:04Z,24.97
2025-07-24T16:00:05Z,24.96
2025-07-24T16:00:06Z,25.00
2025-07-24T16:00:07Z,25.02
2025-07-24T16:00:08Z,25.01
2025-07-24T16:00:09Z,25.00
