timestamp,temperature_C
2025-07-24T12:01:02Z,23.03
2025-07-24T12:01:03Z,23.05
2025-07-24T12:01:04Z,23.01
2025-07-24T12:01:05Z,23.00
# 3) Overheat spike at 13:00  
2025-07-24T13:00:00Z,31.50
2025-07-24T13:00:01Z,31.55
2025-07-24T13:00:02Z,31.60
# 4) Baseline  
2025-07-24T13:00:03Z,25.00
2025-07-24T13:00:04Z,25.01
# 5) Night-time anomaly at 22:05  
2025-07-24T22:05:00Z,23.00
2025-07-24T22:05:01Z,23.02
2025-07-24T22:05:02Z,23.01
2025-07-01T12:00:11Z,24.98
2025-07-01T12:00:12Z,25.01
2025-07-01T12:00:13Z,24.9
2025-07-01T12:00:14Z,24.91
2025-07-01T12:00:15Z,24.97
2025-07-01T12:00:16Z,24.95
2025-07-01T12:00:17Z,25.02
